PLR,skypeMetric
0.0,3.1591488389727425
0.0,3.0709609960186786
0.0,3.3165223666403807
0.0,3.2524934407275143
0.0,3.229202761142027
0.5,3.3239228627428057
0.5,3.185369325886518
0.5,3.280064158820891
0.5,3.0323543705082736
0.5,2.947770441287554
3.0,2.350029823273866
3.0,3.2038066178977975
3.0,2.660644476124733
3.0,3.1936121766567265
3.0,3.0415286587220347
5.0,3.021045510915434
5.0,2.8877231173273716
5.0,2.8518066322072864
5.0,3.006726642051542
5.0,1.716755294627501
10.0,1.047610287182417
10.0,1.5597742529986223
10.0,2.2436344321401718
10.0,1.0
10.0,1.0
0.0,3.154205507637801
0.0,3.2379023519770156
0.0,3.328039897668671
0.0,3.2068223891312697
0.0,3.3417814051550616
0.5,3.2671950127210945
0.5,3.2100907220423194
0.5,3.160039800716441
0.5,3.0516789720128545
0.5,3.249212011860472
3.0,3.0119091354789718
3.0,3.217000067283983
3.0,3.188561206881647
3.0,3.171472627467735
3.0,3.157429218014942
5.0,3.0704445151368622
5.0,2.9026886931660854
5.0,2.6742787149267393
5.0,2.666148530547912
5.0,2.9228409373967166
10.0,2.6837319065390446
10.0,1.373165326550366
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.181820530382911
0.0,3.1951973397574935
0.0,3.1836644323600987
0.0,3.1417082376111893
0.0,3.29432288895912
0.5,3.1265966637731997
0.5,3.2348805377413377
0.5,3.2737099715251134
0.5,3.1652451663335857
0.5,3.1707137888053993
3.0,3.156523906653745
3.0,3.2198058790896673
3.0,3.2050254165950336
3.0,3.1990902330192195
3.0,3.1898375475479335
5.0,3.0558905680715194
5.0,3.237537681794453
5.0,3.239752264244526
5.0,3.1119761637914327
5.0,3.2517010091827494
10.0,2.8841669253604545
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.175483456123035
0.0,3.2573486301060073
0.0,3.3577142339696113
0.0,3.3297992914504992
0.0,3.334765316107813
0.5,3.1568075668323257
0.5,3.142749546148465
0.5,3.2102902635681474
0.5,3.0974666485543767
0.5,3.328911594059202
3.0,3.0621573440750587
3.0,3.142609644069794
3.0,3.1686246994355916
3.0,3.1118651453839523
3.0,3.1901588518030253
5.0,3.1465646287945543
5.0,3.145655671464708
5.0,3.0789719272663874
5.0,3.215042414825482
5.0,3.1276301052589552
10.0,3.134331341643943
10.0,2.921369796537748
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.1648573040798955
0.0,3.2039724507758285
0.0,3.2541580480480783
0.0,3.346238205340541
0.0,3.231174036297286
0.5,3.1861183517337843
0.5,3.2583246473124374
0.5,3.3482979464724014
0.5,3.1609254762925203
0.5,3.350380903869233
3.0,3.217675011724035
3.0,3.276320290024107
3.0,3.1352257920750617
3.0,3.3338582532811993
3.0,3.0628782392465044
5.0,3.1806012283793925
5.0,3.090074139718736
5.0,3.1640265476159803
5.0,2.1537653093784175
5.0,3.08415959645703
10.0,3.1570066342046825
10.0,3.089558335241883
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.374802308928955
0.0,3.196261480530641
0.0,3.2862724121011184
0.0,3.293410610796023
0.0,3.2037351598037933
0.5,3.2730133991849524
0.5,3.099079811552443
0.5,3.2334453011191724
0.5,3.1670251814520074
0.5,3.3094843257894095
3.0,3.2491103547247193
3.0,3.124493203326898
3.0,3.274975156707271
3.0,3.2473323244448795
3.0,3.255723797664073
5.0,3.1247442091766175
5.0,3.238996054496019
5.0,3.134715413702661
5.0,3.0450341881802854
5.0,3.044852554882514
10.0,2.8726109682752634
10.0,3.0130317016651014
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.157141509476268
0.0,3.1738964264235174
0.0,3.1660348743490156
0.0,3.2727841105237294
0.0,3.177558648497677
0.5,3.159627209680788
0.5,3.1181182779229237
0.5,3.2860703516197582
0.5,3.134470324722871
0.5,3.2792726282838
3.0,3.212487895200309
3.0,3.2067612212717385
3.0,3.113570530382063
3.0,3.242769082109532
3.0,3.198078717656479
5.0,3.1942934739995135
5.0,3.0790692625900937
5.0,3.1126455147510894
5.0,3.1310705199767805
5.0,3.101499693887465
10.0,2.988237079074616
10.0,3.14642917889395
10.0,1.0
10.0,1.0
10.0,1.0
0.0,3.309943854579742
0.0,3.307516959197806
0.0,3.216973478898907
0.0,3.1547459652326966
0.0,3.1839589940789095
0.5,3.2453118015914795
0.5,3.27882804697546
0.5,3.3015843942515803
0.5,3.1910716095651757
0.5,3.172676902551631
3.0,3.2306972332839847
3.0,2.1601380280629185
3.0,3.2380868203186477
3.0,3.053422555357793
3.0,3.2712845423925367
5.0,3.013669924621689
5.0,3.0708115543752497
5.0,3.2303426044406645
5.0,2.9669398069738246
5.0,3.2762769823596614
10.0,2.967865467142299
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.038624732681926
0.0,3.1301120823191093
0.0,3.2260253105857046
0.0,3.121930020817368
0.0,3.3340792971521243
0.0,3.3517251383796434
0.5,3.3023468988461766
0.5,3.2015119484981125
0.5,3.226268577631695
0.5,3.240760575798782
0.5,3.2517418120314106
3.0,3.23625577212658
3.0,3.238082125816484
3.0,3.0717246417070494
3.0,3.1010501482390143
3.0,3.0903551331309647
5.0,1.0
5.0,3.2149738023789496
5.0,3.088280919361326
5.0,1.0
5.0,1.0
10.0,3.1106926337762064
10.0,2.8352555295971866
10.0,2.889294572904544
10.0,2.859757649917344
10.0,2.8573792933167894
0.0,3.199312142141728
0.0,3.2996443835680758
0.0,3.1429614977494116
0.0,3.2678054040627633
0.0,3.3141943923200192
0.5,3.1979294572313095
0.5,3.20620390258065
0.5,3.184360479136421
0.5,3.269538762909133
0.5,3.232791627225986
3.0,3.31823611435344
3.0,3.3061520798769015
3.0,3.1231458789546602
3.0,1.0
3.0,3.0815757979637466
5.0,3.0201317538325454
5.0,3.2294347756351516
5.0,3.012186857498677
5.0,3.054395196656846
5.0,3.0718420004533646
10.0,3.0145663667875766
10.0,1.0
10.0,1.0
10.0,1.0
10.0,1.0
